Building IRN,Building Name,District IRN,District Name,County,Region,Address,"City, State, Zip Code",Phone #,Principal,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark
000059,Ada Elementary School,045187,Ada Exempted Village,Hardin,Region 6,435 Grand Ave,"Ada, OH, 45810-1013",(419) 634-2341,Robin E. Vanbuskirk,98.476,82.1,B,0.0,7.0,12.3,26.6,25.6,28.5,0.0,116.667,97.2,0.0,0.0,0.0,4.0,25.3,70.7,0.0,96.125,96.591,
000067,Ada High School,045187,Ada Exempted Village,Hardin,Region 6,435 Grand Ave,"Ada, OH, 45810-1013",(419) 634-2746,Robin E. Vanbuskirk,92.066,76.7,C,0.0,9.5,18.2,31.9,22.0,16.3,1.9,116.078,96.7,0.0,2.0,0.0,3.9,27.5,52.9,13.7,91.667,97.984,
000083,Sandusky Middle School,044743,Sandusky City,Erie,Region 2,318 Columbus Ave,"Sandusky, OH, 44870-2616",(419) 984-1180,Marie A. Prieto,66.398,55.3,D,0.0,39.5,21.4,19.9,12.9,6.0,0.4,108.828,90.7,0.0,1.4,3.4,22.1,37.2,33.1,2.8,62.772,64.647,
000102,Meigs Primary School,048520,Meigs Local,Meigs,Region 16,36871 State Route 124,"Middleport, OH, 45760-9717",(740) 742-3000,Kristin C. Baer,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000105,Meigs Intermediate School,048520,Meigs Local,Meigs,Region 16,36871 State Route 124,"Middleport, OH, 45760-9717",(740) 742-2666,IRENE C. Murphy,74.145,61.8,D,0.0,26.4,25.4,26.1,15.8,6.2,0.0,106.765,89.0,0.0,1.5,5.9,20.6,42.6,29.4,0.0,70.394,78.166,
000116,Hamilton Freshman School,044107,Hamilton City,Butler,Region 13,2260 NW Washington Blvd.,"Hamilton, OH, 45013",(513) 896-3400,Jeffrey D. Miller,81.786,68.2,D,0.4,16.5,23.4,37.6,13.9,8.0,0.2,106.471,88.7,1.2,1.2,3.5,30.6,30.6,30.6,2.4,67.364,82.482,
000117,Adamsville Elementary School,048876,Tri-Valley Local,Muskingum,Region 12,7950 East St,"Adamsville, OH, 43802-9024",(740) 796-2153,Michael D. Smith,94.130,78.4,C,0.0,8.1,16.7,31.1,23.2,20.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.555,65.065,
000118,Hamilton Intermediate School,046953,Hamilton Local,Franklin,Region 11,765 Rathmell Rd,"Columbus, OH, 43207-4737",(614) 491-8044,Kelly L. Buxton,92.345,77.0,C,0.4,10.7,15.6,27.7,26.9,18.7,0.0,115.942,96.6,0.0,0.0,0.0,8.7,23.2,68.1,0.0,92.162,94.209,
000119,Oak Hill Middle/High School,047761,Oak Hill Union Local,Jackson,Region 16,5063 State Route 93,"Oak Hill, OH, 45656-9408",(740) 682-7055,Randall L. Layton,84.468,70.4,C,0.2,17.0,20.1,30.2,18.8,13.7,0.0,109.304,91.1,0.0,1.9,4.4,17.7,27.8,48.1,0.0,79.797,88.707,
000124,Oak Hill Elementary,047761,Oak Hill Union Local,Jackson,Region 16,401 Evans St,"Oak Hill, OH, 45656-1131",(740) 682-7096,Adam D. Michael,93.233,77.7,C,0.1,9.7,18.2,23.2,23.0,25.8,0.0,115.692,96.4,0.0,0.0,4.6,3.1,9.2,83.1,0.0,87.310,90.960,
000135,South Vienna Middle School,046250,Northeastern Local,Clark,Region 10,140 W Main St,"South Vienna, OH, 45369-9753",(937) 346-0880,Belinda B. Banks,89.854,74.9,C,0.0,12.3,18.3,27.9,24.9,16.6,0.0,116.122,96.8,0.0,0.0,0.0,8.2,22.4,69.4,0.0,84.218,89.845,
000137,Northridge Middle School,046250,Northeastern Local,Clark,Region 10,4445 Ridgewood Rd E,"Springfield, OH, 45503-5933",(937) 399-2852,"Gary A. Miller, Jr.",88.997,74.2,C,0.2,13.1,17.3,30.4,25.8,13.0,0.2,113.736,94.8,0.0,1.1,1.1,12.1,25.3,57.1,3.3,85.644,86.858,
000138,Pathway School of Discovery,000138,Pathway School of Discovery,Montgomery,Region 10,173 Avondale Dr,"Dayton, OH, 45404-2123",(937) 235-5498,Keith B. Colbert,79.490,66.2,D,0.0,23.5,20.2,26.5,19.3,10.4,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.690,82.389,
000139,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,Hamilton,Region 13,1712 Duck Creek Rd,"Cincinnati, OH, 45207-1644",(513) 751-5555,Elizabeth L. King,64.585,53.8,D,0.0,36.1,29.7,20.8,9.5,3.8,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.718,76.309,
000141,Addaville Elementary School,065680,Gallia County Local,Gallia,Region 16,1333 Brick School Rd,"Gallipolis, OH, 45631-8782",(740) 367-7283,Thomas B. Mitchem,88.859,74.0,C,0.0,13.9,16.4,32.5,23.1,14.1,0.0,116.000,96.7,0.0,0.0,0.0,6.7,26.7,66.7,0.0,88.448,74.230,
000177,Fairland West Elementary School,047936,Fairland Local,Lawrence,Region 15,110 Township Road 1125,"Proctorville, OH, 45669-8519",(740) 886-3150,Mary T. Johnson,104.761,87.3,B,0.0,3.8,7.5,20.9,31.9,36.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.398,99.064,
000187,Centerburg Middle School,047829,Centerburg Local,Knox,Region 7,3782 Columbus Road,"Centerburg, OH, 43011",(740) 625-6055,RYAN S. GALLWITZ,83.457,69.5,D,0.1,18.1,20.2,28.7,22.5,10.4,0.0,109.677,91.4,0.0,0.0,4.8,24.2,25.8,45.2,0.0,82.500,56.763,
000190,Buckeye West Elementary School,047787,Buckeye Local,Jefferson,Region 12,243 N Mill St,"Adena, OH, 43901-7992",(740) 546-3413,Lucas R. Parsons,87.351,72.8,C,0.0,14.8,19.1,27.0,24.8,14.3,0.0,115.161,96.0,0.0,0.0,0.0,12.9,22.6,64.5,0.0,84.835,91.990,
