Building Name,District Name,County,"City, State, Zip Code",Performance Index Score 2015-16,City,State,Zip Code,Code+4
Ada Elementary School,Ada Exempted Village,Hardin,"Ada, OH, 45810-1013",96.125,Ada, OH, 45810,1013
Ada High School,Ada Exempted Village,Hardin,"Ada, OH, 45810-1013",91.667,Ada, OH, 45810,1013
Sandusky Middle School,Sandusky City,Erie,"Sandusky, OH, 44870-2616",62.772,Sandusky, OH, 44870,2616
Meigs Primary School,Meigs Local,Meigs,"Middleport, OH, 45760-9717",NC,Middleport, OH, 45760,9717
Meigs Intermediate School,Meigs Local,Meigs,"Middleport, OH, 45760-9717",70.394,Middleport, OH, 45760,9717
Hamilton Freshman School,Hamilton City,Butler,"Hamilton, OH, 45013",67.364,Hamilton, OH, 45013,
Adamsville Elementary School,Tri-Valley Local,Muskingum,"Adamsville, OH, 43802-9024",88.555,Adamsville, OH, 43802,9024
Hamilton Intermediate School,Hamilton Local,Franklin,"Columbus, OH, 43207-4737",92.162,Columbus, OH, 43207,4737
Oak Hill Middle/High School,Oak Hill Union Local,Jackson,"Oak Hill, OH, 45656-9408",79.797,Oak Hill, OH, 45656,9408
Oak Hill Elementary,Oak Hill Union Local,Jackson,"Oak Hill, OH, 45656-1131",87.310,Oak Hill, OH, 45656,1131
South Vienna Middle School,Northeastern Local,Clark,"South Vienna, OH, 45369-9753",84.218,South Vienna, OH, 45369,9753
Northridge Middle School,Northeastern Local,Clark,"Springfield, OH, 45503-5933",85.644,Springfield, OH, 45503,5933
Pathway School of Discovery,Pathway School of Discovery,Montgomery,"Dayton, OH, 45404-2123",74.690,Dayton, OH, 45404,2123
Alliance Academy of Cincinnati,Alliance Academy of Cincinnati,Hamilton,"Cincinnati, OH, 45207-1644",56.718,Cincinnati, OH, 45207,1644
Addaville Elementary School,Gallia County Local,Gallia,"Gallipolis, OH, 45631-8782",88.448,Gallipolis, OH, 45631,8782
Fairland West Elementary School,Fairland Local,Lawrence,"Proctorville, OH, 45669-8519",97.398,Proctorville, OH, 45669,8519
Centerburg Middle School,Centerburg Local,Knox,"Centerburg, OH, 43011",82.500,Centerburg, OH, 43011,
Buckeye West Elementary School,Buckeye Local,Jefferson,"Adena, OH, 43901-7992",84.835,Adena, OH, 43901,7992
Adena High School,Adena Local,Ross,"Frankfort, OH, 45628-9503",73.674,Frankfort, OH, 45628,9503
Wildwood Environmental Academy,Wildwood Environmental Academy,Lucas,"Maumee, OH, 43537-1374",74.092,Maumee, OH, 43537,1374
Adlai Stevenson School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44122-6441",43.903,Cleveland, OH, 44122,6441
Unioto Elementary,Union-Scioto Local,Ross,"Chillicothe, OH, 45601-9432",90.091,Chillicothe, OH, 45601,9432
Adrian Elementary School,South Euclid-Lyndhurst City,Cuyahoga,"South Euclid, OH, 44121-3580",86.637,South Euclid, OH, 44121,3580
Ella P. Stewart Academy for Girls,Toledo City,Lucas,"Toledo, OH, 43604-8305",64.136,Toledo, OH, 43604,8305
"Ohio Connections Academy, Inc","Ohio Connections Academy, Inc",Cuyahoga,"Cleveland, OH, 44115-2229",80.331,Cleveland, OH, 44115,2229
Quaker Digital Academy,New Philadelphia City,Tuscarawas,"New Philadelphia, OH, 44663-2150",NC,New Philadelphia, OH, 44663,2150
North Union Elementary School,North Union Local School District,Union,"Richwood, OH, 43344-9022",89.369,Richwood, OH, 43344,9022
Alexander Elementary School,Alexander Local,Athens,"Albany, OH, 45710-9236",83.062,Albany, OH, 45710,9236
Albion Elementary School,North Royalton City,Cuyahoga,"North Royalton, OH, 44133-1768",101.674,North Royalton, OH, 44133,1768
Main Street School,Norwalk City,Huron,"Norwalk, OH, 44857-1714",81.373,Norwalk, OH, 44857,1714
Malvern Middle School,Brown Local,Carroll,"Malvern, OH, 44644-9467",74.706,Malvern, OH, 44644,9467
Summit Academy Community School-Columbus,Summit Academy Community School-Columbus,Franklin,"Columbus, OH, 43207-2712",53.188,Columbus, OH, 43207,2712
Summit Academy Community School - Dayton,Summit Academy Community School - Dayton,Montgomery,"Dayton, OH, 45414-3908",52.684,Dayton, OH, 45414,3908
Summit Academy Secondary - Akron,Summit Academy Secondary - Akron,Summit,"Akron, OH, 44320-1228",49.706,Akron, OH, 44320,1228
Summit Academy Secondary - Canton,Summit Academy Secondary - Canton,Stark,"Canton, OH, 44709-3613",53.289,Canton, OH, 44709,3613
Summit Academy Secondary - Lorain,Summit Academy Secondary - Lorain,Lorain,"Toledo, OH, 43604-2134",48.068,Toledo, OH, 43604,2134
Summit Academy Community School-Parma,Summit Academy Community School-Parma,Cuyahoga,"Parma, OH, 44130-1736",58.053,Parma, OH, 44130,1736
Summit Academy Secondary - Youngstown,Summit Academy Secondary - Youngstown,Mahoning,"Youngstown, OH, 44502-2770",48.194,Youngstown, OH, 44502,2770
Summit Academy Community School-Toledo,Summit Academy Community School-Toledo,Lucas,"Toledo, OH, 43609-2086",49.573,Toledo, OH, 43609,2086
Summit Academy Community School-Warren,Summit Academy Community School-Warren,Trumbull,"Warren, OH, 44484-5225",57.072,Warren, OH, 44484,5225
Summit Academy Community School - Cincinnati,Summit Academy Community School - Cincinnati,Hamilton,"Cincinnati, OH, 45237-3805",51.304,Cincinnati, OH, 45237,3805
Bridges Community Academy,Bridges Community Academy,Seneca,"Tiffin, OH, 44883-3475",61.775,Tiffin, OH, 44883,3475
Alexander Jr. / Sr. High School,Alexander Local,Athens,"Albany, OH, 45710-8904",82.790,Albany, OH, 45710,8904
Constellation Schools: Westpark Community Middle,Constellation Schools: Westpark Community Middle,Cuyahoga,"Parma, OH, 44134-1602",72.605,Parma, OH, 44134,1602
Menlo Park Academy,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44111-2263",110.760,Cleveland, OH, 44111,2263
Constellation Schools: Madison Community Elementary,Constellation Schools: Madison Community Elementary,Cuyahoga,"Cleveland, OH, 44102-3727",53.874,Cleveland, OH, 44102,3727
Constellation Schools: Lorain Community Middle,Constellation Schools: Lorain Community Middle,Lorain,"Parma, OH, 44134-1602",65.591,Parma, OH, 44134,1602
Constellation Schools: Old Brooklyn Community Middle,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,"Parma, OH, 44134-1602",77.643,Parma, OH, 44134,1602
Horizon Science Academy Toledo,Horizon Science Academy Toledo,Lucas,"Toledo, OH, 43613-4300",50.884,Toledo, OH, 43613,4300
Youngstown Virtual Academy,Youngstown City,Mahoning,"Youngstown, OH, 44503-1028",NC,Youngstown, OH, 44503,1028
Elmwood Elementary School,Elmwood Local,Wood,"Bloomdale, OH, 44817-9763",91.273,Bloomdale, OH, 44817,9763
Palm Elementary School,Lorain City,Lorain,"Lorain, OH, 44055-2027",66.527,Lorain, OH, 44055,2027
Upper Scioto Valley Middle School,Upper Scioto Valley Local,Hardin,"Mc Guffey, OH, 45859",74.713,Mc Guffey, OH, 45859,
Granger Elementary School,Highland Local,Medina,"Medina, OH, 44256-8618",106.534,Medina, OH, 44256,8618
Ulysses S. Grant Middle School,Marion City,Marion,"Marion, OH, 43302-5173",63.471,Marion, OH, 43302,5173
William McKinley Elementary School,Marion City,Marion,"Marion, OH, 43302-7110",59.815,Marion, OH, 43302,7110
Genoa Elementary,Genoa Area Local,Ottawa,"Genoa, OH, 43430-9730",92.178,Genoa, OH, 43430,9730
Bridges Learning Center,Akron City,Summit,"Akron, OH, 44306-4201",40.796,Akron, OH, 44306,4201
Akron Alternative Academy,Akron City,Summit,"Akron, OH, 44311-1357",NC,Akron, OH, 44311,1357
Allen East High School,Allen East Local,Allen,"Harrod, OH, 45850-9485",77.776,Harrod, OH, 45850,9485
Crestwood Primary School,Crestwood Local,Portage,"Mantua, OH, 44255-9454",NC,Mantua, OH, 44255,9454
Crestwood Intermediate School,Crestwood Local,Portage,"Mantua, OH, 44255-9454",98.006,Mantua, OH, 44255,9454
Chieftain Elementary School,Logan-Hocking Local,Hocking,"Logan, OH, 43138-9557",98.052,Logan, OH, 43138,9557
Hocking Hills Elementary School,Logan-Hocking Local,Hocking,"Logan, OH, 43138-9536",99.466,Logan, OH, 43138,9536
Central Elementary School,Logan-Hocking Local,Hocking,"Logan, OH, 43138",96.736,Logan, OH, 43138,
Gateway Elementary School,Conneaut Area City,Ashtabula,"Conneaut, OH, 44030",82.397,Conneaut, OH, 44030,
Lakeshore Primary Elementary School,Conneaut Area City,Ashtabula,"Conneaut, OH, 44030-1448",NC,Conneaut, OH, 44030,1448
Mansfield Elective Academy,Office of School Sponsorship,Franklin,"Mansfield, OH, 44906-2630",42.157,Mansfield, OH, 44906,2630
Allen Elementary School,Chillicothe City,Ross,"Chillicothe, OH, 45601-2006",98.840,Chillicothe, OH, 45601,2006
Mapleton Elementary School,Mapleton Local,Ashland,"Ashland, OH, 44805",92.813,Ashland, OH, 44805,
Allen Elementary School,Canton City,Stark,"Canton, OH, 44707-3531",NC,Canton, OH, 44707,3531
Buckeye On-Line School for Success,Buckeye On-Line School for Success,Columbiana,"East Liverpool, OH, 43920-3030",64.095,East Liverpool, OH, 43920,3030
Jackson Westview Elementary School,Jackson City,Jackson,"Jackson, OH, 45640-9005",99.488,Jackson, OH, 45640,9005
Eastgate Elementary School,Columbus City,Franklin,"Columbus, OH, 43219-2946",46.704,Columbus, OH, 43219,2946
Allen East Elementary School,Allen East Local,Allen,"Harrod, OH, 45850-9485",99.714,Harrod, OH, 45850,9485
Manchester High School,Manchester Local,Adams,"Manchester, OH, 45144-9314",79.004,Manchester, OH, 45144,9314
Manchester Elementary School,Manchester Local,Adams,"Manchester, OH, 45144-9314",86.123,Manchester, OH, 45144,9314
West Elementary,Vinton County Local,Vinton,"Mc Arthur, OH, 45651-8859",95.087,Mc Arthur, OH, 45651,8859
Alliance High School,Alliance City,Stark,"Alliance, OH, 44601-2810",75.574,Alliance, OH, 44601,2810
Independence Elementary School,Lima City,Allen,"Lima, OH, 45801",73.898,Lima, OH, 45801,
Sharpsburg Primary,Norwood City,Hamilton,"Norwood, OH, 45212-3332",NC,Norwood, OH, 45212,3332
Liberty Arts Magnet K-8,Lima City,Allen,"Lima, OH, 45804-1168",88.955,Lima, OH, 45804,1168
Bluestone Elementary School,Euclid City,Cuyahoga,"Euclid, OH, 44132-3107",58.424,Euclid, OH, 44132,3107
Almira,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44102-4642",46.384,Cleveland, OH, 44102,4642
Bowman Primary School,Lebanon City,Warren,"Lebanon, OH, 45036",NC,Lebanon, OH, 45036,
Lebanon Junior High,Lebanon City,Warren,"Lebanon, OH, 45036-1234",88.597,Lebanon, OH, 45036,1234
Alpine Elementary School,Columbus City,Franklin,"Columbus, OH, 43229-2120",83.538,Columbus, OH, 43229,2120
Ripley Union Lewis Huntington Middle School,Ripley-Union-Lewis-Huntington Local,Brown,"Aberdeen, OH, 45101-9502",72.299,Aberdeen, OH, 45101,9502
Alton Hall Elementary School,South-Western City,Franklin,"Galloway, OH, 43119-8867",78.266,Galloway, OH, 43119,8867
Whitehall Preparatory and Fitness Academy,Whitehall Preparatory and Fitness Academy,Franklin,"Columbus, OH, 43227-2279",53.160,Columbus, OH, 43227,2279
Springfield Preparatory and Fitness Academy,Springfield Preparatory and Fitness Academy,Clark,"Springfield, OH, 45505-4245",65.854,Springfield, OH, 45505,4245
Northland Preparatory and Fitness Academy,Northland Preparatory and Fitness Academy,Franklin,"Columbus, OH, 43229-6603",57.285,Columbus, OH, 43229,6603
Columbus Scioto 6-12,Columbus City,Franklin,"Columbus, OH, 43207-3669",35.944,Columbus, OH, 43207,3669
Whiteoak Junior High School,Bright Local,Highland,"Mowrystown, OH, 45155",65.636,Mowrystown, OH, 45155,
Youngstown Early College,Youngstown City,Mahoning,"Youngstown, OH, 44555-0001",81.825,Youngstown, OH, 44555,0001
Constellation Schools: Puritas Community Middle,Constellation Schools: Puritas Community Middle,Cuyahoga,"Parma, OH, 44134-1602",79.581,Parma, OH, 44134,1602
Amanda-Clearcreek Elementary School,Amanda-Clearcreek Local,Fairfield,"Amanda, OH, 43102-9330",90.723,Amanda, OH, 43102,9330
Constellation Schools: Outreach Academy for Students with Di,Constellation Schools: Outreach Academy for Students with Di,Cuyahoga,"Cleveland, OH, 44111-6037",43.929,Cleveland, OH, 44111,6037
Pinnacle Academy,Pinnacle Academy,Cuyahoga,"Euclid, OH, 44123-3317",62.163,Euclid, OH, 44123,3317
Winterfield Venture Academy,Winterfield Venture Academy,Lucas,"Toledo, OH, 43615-6244",59.347,Toledo, OH, 43615,6244
Amanda Elementary School,Middletown City,Butler,"Middletown, OH, 45044-7580",63.791,Middletown, OH, 45044,7580
"Columbus Humanities, Arts and Technology Academy","Columbus Humanities, Arts and Technology Academy",Franklin,"Columbus, OH, 43229-6322",61.575,Columbus, OH, 43229,6322
A+ Arts Academy,A+ Arts Academy,Franklin,"Columbus, OH, 43205-1543",61.298,Columbus, OH, 43205,1543
Columbus Arts & Technology Academy,Columbus Arts & Technology Academy,Franklin,"Columbus, OH, 43232-7210",76.667,Columbus, OH, 43232,7210
