Total Annual Payroll,ZIPCODE
615078,45404
137872,45207
1360272,43537
1905760,44115
304555,44663
825412,43207
684586,45414
226937,44320
104789,44709
800688,43604
1366753,44130
175215,44502
98949,43609
291886,44484
435912,45237
377618,44883
185028,44134
599151,44111
297821,44102
185028,44134
185028,44134
106494,43613
352342,44906
175015,43920
117329,43227
278413,45505
883470,43229
185028,44134
599151,44111
70364,44123
600009,43615
883470,43229
783304,43205
317748,43232
428516,43204
280625,45214
185345,44112
297821,44102
6554408,45202
60056,45410
484609,45224
124384,44052
825412,43207
685344,45801
825412,43207
73311,44485
135390,45415
106968,44509
692005,44077
205163,43614
615207,45044
57602,44270
1677318,44060
379262,43231
143400,43004
144435,44120
144435,44120
800688,43604
687999,43212
687999,43212
435912,45237
135390,45415
600009,43615
688392,44109
876060,43612
106968,44509
382053,44103
1832752,43228
2939971,44114
317748,43232
783829,43055
317650,43607
428516,43204
248065,45231
9537,44506
144337,44104
1034345,43214
261790,44053
261790,44053
396585,44117
491000,43220
825412,43207
723217,44105
482496,43125
783304,43205
317650,43607
185028,44134
609505,43606
205163,43614
883470,43229
356117,43608
352342,44906
0,45469
428516,43204
295975,43223
800688,43604
16303,45416
439668,45662
379262,43231
124623,43224
1270123,44113
687999,43212
831145,45219
317748,43232
188341,43605
2939971,44114
316020,44312
138663,44119
117329,43227
883470,43229
10359,43973
124384,44052
135390,45415
1270123,44113
226937,44320
352342,44906
1034345,43214
123150,45403
33589,44507
317748,43232
723217,44105
2955121,43219
185028,44134
185028,44134
1899914,44106
1270123,44113
723217,44105
1031257,43701
117329,43227
377618,44883
239525,44304
1366753,44130
33589,44507
14405,44659
800349,45227
1832752,43228
382053,44103
135390,45415
185028,44134
369612,44306
573316,44483
723217,44105
97795,44127
53705,44108
160999,45405
295975,43223
1034345,43214
723217,44105
744563,44128
169476,44110
160999,45405
744563,44128
1905760,44115
291886,44484
600009,43615
600009,43615
317650,43607
221152,43209
688392,44109
800688,43604
317748,43232
825412,43207
131166,44137
243602,44305
180831,44702
43608,45205
254423,43222
484609,45224
1297409,44145
356117,43608
144435,44120
369612,44306
340273,45232
688392,44109
126649,44301
2955121,43219
117329,43227
609505,43606
20181,45619
226937,44320
883470,43229
382053,44103
4791476,43215
60056,45410
169476,44110
609505,43606
801109,44135
257464,45417
4791476,43215
783304,43205
3576,43945
188341,43605
98949,43609
744563,44128
465140,45212
138663,44119
339126,44310
1273884,80203
428516,43204
79810,45506
379583,43725
53705,44108
7265,43943
744563,44128
620364,44706
1832752,43228
156023,44705
297821,44102
483460,43528
599151,44111
254423,43222
615207,45044
285248,45385
226937,44320
211783,45449
346751,44129
1008840,44035
599151,44111
144337,44104
346751,44129
723217,44105
187278,44707
115535,44055
144313,45213
80922,45406
825412,43207
1034345,43214
1152010,43081
1366667,45402
1182634,45229
280625,45214
53705,44108
239525,44304
317748,43232
316020,44312
382053,44103
883470,43229
81917,45204
80922,45406
688392,44109
800688,43604
1366667,45402
175215,44502
688392,44109
106494,43613
188341,43605
744563,44128
243602,44305
123931,44314
1366667,45402
883470,43229
1360272,43537
723217,44105
883470,43229
428516,43204
74229,45426
615207,45044
317650,43607
801109,44135
